Bezirk;PLZ;Straße und Hausnummer;Name der Praxis;Vor? und Zuname der Ärztin/des Arztes;Fachgebiet;Sprechzeiten;Terminbuchung telefonisch unter:;Terminbuchung per E?Mail unter:;Terminbuchung online unter:;Weitere Informationen für Impfwillige;Website der Arztpraxis, falls vorhanden
Friedrichshain? Kreuzberg;10249;Petersburger Str. 72A;chirurgische Praxis Friedrichshain;Dr. Thomas Hofmann, Dr. Andre Wierth, Robert Krause;Chirurgie?Orthopädie;Freitags 12:00?14:30;;praxis@hofmann?wierth.de;www.hofmann?wierth.de;;www.hofmann?wierth.de
Friedrichshain? Kreuzberg;10999;Kottbusser Straße 16,;Arztpraxis Dr. Buck;Dr. Elfriede Buck;Hausarzt;"Montag 10?17 Uhr, Dienstag, Mittwoch, Freitag 10?13 Uhr, Donnerstag 10? 18 Uhr Impfungen erfolgen außerhalb der o.g.
Sprechzeiten";6118076;;https://www.doctolib.de/allgemeinm edizin/berlin/elfriede?buck;Bitte EInverständniserklärung, Anamnese und Aufklärungsmerkblatt für Vektorimpfstoff ausgefüllt mitbringen (auf der Webseite des RKI erhältlich);praxisdrbuck.de
Lichtenberg;10315;Rummelsburgerstr. 13?15;Facharztpraxis für Allgemeinmedizin;Dipl. Med. Angela Nöther;Hausarzt;Astra?Impfungen außerhalb der Priorisierung ab 03. 05. 21 in unserer Praxis möglich, Terminvergabe ausschließlich telefonisch möglich.;5101013;;;Für die Impfungen mit dem Astra Impfstoff stehen ausschließlich fixe Termine zur Verfügung, die Ihnen vom Personal angeboten werden. Diese sind abhängig von den Lieferungen des Impfstoffs. Die Impfung von Patienten unter 60 Jahren erfolgt nur auf ausdrücklichen Wunsch des Patienten nach entsprechender Aufklärung. Halten Sie Ihren Impfausweis bereit, kleiden Sie sich bitte praktisch, um lange Wartezeiten zu vermeiden.;
Lichtenberg;10318;Rheinsteinstr. 1;Hausarztpraxis Choi;Kwang Ryul Choi;Hausarzt;Mo?Fr 8:00 ?12:00 Nur Mo und Do 14:00 ? 18:00;(030) 5090162;praxischoi@gmx.de;;;
Lichtenberg;10365;Schulze?Boysen?Straße 35;Bugenhagen;Kristin Bugenhagen;Hausarzt;Impftag: Mittwochs 07?12 Uhr und nach Vereinbarung;5536655;;;oder geben Sie unter Tel?Nr Ihren Namen und Rückrufnummer an;
Mitte;13353;Müllerstraße 151;Medico Leopoldplatz GmbH;Lydia Yamin;Hausarzt;Montag bis Freitag 08:00 bis 20:00 Uhr Samstag 08:00 bis 16:00 Uhr;304579790;termine@medico? leopoldplatz.de;;Bitte informieren Sie sich vor Ihrem Termin über die aktuellen Hinweise zum Impfprocedere in unserer Praxis. Weitere Informationen finden Sie unter: https://medico?leopoldplatz.de/corona?covid?19?impfung/ Bringen Sie bitte, wenn möglich, zum Termin den von Ihnen ausgefüllten Aufklärungs? und Anamnesebogen mit.;www.medico?leopoldplatz.de
Mitte;13353;Müllerstraße 151;Medico Leopoldplatz GmbH;Dr. Mahmoud Pakzad;Hausarzt;Montag bis Freitag 08:00 bis 20:00 Uhr Samstag 08:00 bis 16:00 Uhr;304579790;termine@medico? leopoldplatz.de;;Bitte informieren Sie sich vor Ihrem Termin über die aktuellen Hinweise zum Impfprocedere in unserer Praxis. Weitere Informationen finden Sie unter: https://medico?leopoldplatz.de/corona?covid?19?impfung/ Bringen Sie bitte, wenn möglich, zum Termin den von Ihnen ausgefüllten Aufklärungs? und Anamnesebogen mit.;www.medico?leopoldplatz.de
Mitte;13353;Müllerstraße 151;Medico Leopoldplatz GmbH;Dr. Peter Velling;Hausarzt;Montag bis Freitag 08:00 bis 20:00 Uhr Samstag 08:00 bis 16:00 Uhr;304579790;termine@medico? leopoldplatz.de;;Bitte informieren Sie sich vor Ihrem Termin über die aktuellen Hinweise zum Impfprocedere in unserer Praxis. Weitere Informationen finden Sie unter: https://medico?leopoldplatz.de/corona?covid?19?impfung/ Bringen Sie bitte, wenn möglich, zum Termin den von Ihnen ausgefüllten Aufklärungs? und Anamnesebogen mit.;www.medico?leopoldplatz.de
Mitte;13353;Müllerstraße 151;Medico Leopoldplatz GmbH;Dr. Petra Itain;Hausarzt;Montag bis Freitag 08:00 bis 20:00 Uhr Samstag 08:00 bis 16:00 Uhr;304579790;termine@medico? leopoldplatz.de;;Bitte informieren Sie sich vor Ihrem Termin über die aktuellen Hinweise zum Impfprocedere in unserer Praxis. Weitere Informationen finden Sie unter: https://medico?leopoldplatz.de/corona?covid?19?impfung/ Bringen Sie bitte, wenn möglich, zum Termin den von Ihnen ausgefüllten Aufklärungs? und Anamnesebogen mit.;www.medico?leopoldplatz.de
Mitte;13353;Müllerstraße 151;Medico Leopoldplatz GmbH;Dr. Manuel Moscovici;Radiologie;Montag bis Freitag 08:00 bis 20:00 Uhr Samstag 08:00 bis 16:00 Uhr;304579790;termine@medico? leopoldplatz.de;;Bitte informieren Sie sich vor Ihrem Termin über die aktuellen Hinweise zum Impfprocedere in unserer Praxis. Weitere Informationen finden Sie unter: https://medico?leopoldplatz.de/corona?covid?19?impfung/ Bringen Sie bitte, wenn möglich, zum Termin den von Ihnen ausgefüllten Aufklärungs? und Anamnesebogen mit.;www.medico?leopoldplatz.de
Mitte;13353;Müllerstraße 151;Medico Leopoldplatz GmbH;Dr. Levent Emre;Radiologie;Montag bis Freitag 08:00 bis 20:00 Uhr Samstag 08:00 bis 16:00 Uhr;304579790;termine@medico? leopoldplatz.de;;Bitte informieren Sie sich vor Ihrem Termin über die aktuellen Hinweise zum Impfprocedere in unserer Praxis. Weitere Informationen finden Sie unter: https://medico?leopoldplatz.de/corona?covid?19?impfung/ Bringen Sie bitte, wenn möglich, zum Termin den von Ihnen ausgefüllten Aufklärungs? und Anamnesebogen mit.;www.medico?leopoldplatz.de
Mitte;13353;Müllerstraße 151;Medico Leopoldplatz GmbH;Dr. Jens Alter;Chirurgie?Orthopädie;Montag bis Freitag 08:00 bis 20:00 Uhr Samstag 08:00 bis 16:00 Uhr;304579790;termine@medico? leopoldplatz.de;;Bitte informieren Sie sich vor Ihrem Termin über die aktuellen Hinweise zum Impfprocedere in unserer Praxis. Weitere Informationen finden Sie unter: https://medico?leopoldplatz.de/corona?covid?19?impfung/ Bringen Sie bitte, wenn möglich, zum Termin den von Ihnen ausgefüllten Aufklärungs? und Anamnesebogen mit.;www.medico?leopoldplatz.de
Mitte;13353;Müllerstraße 151;Medico Leopoldplatz GmbH;Dr. Barbara Schulze;Chirurgie?Orthopädie;Montag bis Freitag 08:00 bis 20:00 Uhr Samstag 08:00 bis 16:00 Uhr;304579790;termine@medico? leopoldplatz.de;;Bitte informieren Sie sich vor Ihrem Termin über die aktuellen Hinweise zum Impfprocedere in unserer Praxis. Weitere Informationen finden Sie unter: https://medico?leopoldplatz.de/corona?covid?19?impfung/ Bringen Sie bitte, wenn möglich, zum Termin den von Ihnen ausgefüllten Aufklärungs? und Anamnesebogen mit.;www.medico?leopoldplatz.de
Mitte;13353;Müllerstraße 151;Medico Leopoldplatz GmbH;Afschin Mirschekarnejad;Chirurgie?Orthopädie;Montag bis Freitag 08:00 bis 20:00 Uhr Samstag 08:00 bis 16:00 Uhr;304579790;termine@medico? leopoldplatz.de;;Bitte informieren Sie sich vor Ihrem Termin über die aktuellen Hinweise zum Impfprocedere in unserer Praxis. Weitere Informationen finden Sie unter: https://medico?leopoldplatz.de/corona?covid?19?impfung/ Bringen Sie bitte, wenn möglich, zum Termin den von Ihnen ausgefüllten Aufklärungs? und Anamnesebogen mit.;www.medico?leopoldplatz.de
Mitte;13353;Müllerstraße 151;Medico Leopoldplatz GmbH;Dr. Matthias Bräuer;Chirurgie?Orthopädie;Montag bis Freitag 08:00 bis 20:00 Uhr Samstag 08:00 bis 16:00 Uhr;304579790;termine@medico? leopoldplatz.de;;Bitte informieren Sie sich vor Ihrem Termin über die aktuellen Hinweise zum Impfprocedere in unserer Praxis. Weitere Informationen finden Sie unter: https://medico?leopoldplatz.de/corona?covid?19?impfung/ Bringen Sie bitte, wenn möglich, zum Termin den von Ihnen ausgefüllten Aufklärungs? und Anamnesebogen mit.;www.medico?leopoldplatz.de
Mitte;13353;Müllerstraße 151;Medico Leopoldplatz GmbH;Dr. Andreas Schief;Chirurgie?Orthopädie;Montag bis Freitag 08:00 bis 20:00 Uhr Samstag 08:00 bis 16:00 Uhr;304579790;termine@medico? leopoldplatz.de;;Bitte informieren Sie sich vor Ihrem Termin über die aktuellen Hinweise zum Impfprocedere in unserer Praxis. Weitere Informationen finden Sie unter: https://medico?leopoldplatz.de/corona?covid?19?impfung/ Bringen Sie bitte, wenn möglich, zum Termin die von Ihnen ausgefüllten Aufklärungs? und Anamnesebögen mit.;www.medico?leopoldplatz.de
Neukölln;12043;Karl?Marx?Str. 16;Praxis für Orthopädie und Unfallchirurgie;Dres.med. Karnas/Walczak? Pohlig/Hetmank;Chirurgie?Orthopädie;Impfungen werden tgl. in der Zeit von 12 ? 13.30 Uhr Impfstart ab 04.05?2021 mit AstraZeneca;;info@ortho?neukoelln.de;über Doctolib;Impfungen werden tgl. in der Zeit von 12 ? 13.30 Uhr angeboten. Wir bitten um vorherige Anmeldung ausschließlich online über unsere Email? Adresse: info@ortho?neukoelln.de;www.ortho?neukoelln.de
Neukölln;12043;Karl?Marx?Str., 80;Tengis Kasch;Tengis Kasch;Gynäkologie;Mo und Di nach Vereinbarung;6815041;tengis.kasch@dgn.de;;;frauenarzt?berlin.de
Neukölln;12043;Karl?Marx?Straße 78;Arztpraxis Asafu?Adjaye;John G. Asafu?Adjaye;Hausarzt;"Montag, Dienstag, Donnerstag von 9 ? 13 Uhr
und 16 ? 18 Uhr Mittwoch und Freitag von 9 ? 13 Uhr";030 6234739;arztpraxis?asafu?adjaye@web.de;;Termine zurzeit nur nach vorheriger Vereinbarung.;www.arztpraxis?asafu?adjaye.de
Neukölln;12047;Bürknerstraße 32;Praxis am Maybachufer ? Dr. med. Stefan Karakaya;Stefan Karakaya;Hausarzt;siehe Praxishomepage;;;www.praxis?am?maybachufer.de;Terminvereinbarung für AstraZeneca ausschließlich online;www.praxis?am?maybachufer.de
Neukölln;12349;Alt Buckow 12;Hausarztpraxis U. Stein;Ulrike Stein;Hausarzt;"Impfzeiten: Mittwoch: 8.00 Uhr?10.30 Uhr Freitag:
12.00 Uhr ?16.00 Uhr";;impfen@hausarztpraxis? ustein.de;;bitte sehen Sie von telefonischen Anfragen ab, wir werden nur rudimentär mit Impfstoff beliefert und melden uns, wenn Impfstoff vorhanden ist, hinterlassen Sie bitte eine Rückrufnr. in Ihrer Mail zur schnellen Terminvereinbarung, bitte bringen Sie Ihre Versicherungskarte und den Impfausweis mit;www.hausarztpraxis?ustein.de
Neukölln;12349;Alt?Buckow 9?11;Hautarztpraxis;Dres. Annette und Axel Köhler;Haut? und Geschlechtskrankheiten;Nach telefonischer oder persönlicher Absprache;030 66006633;;;Impfausweis mitbringen Ausgefüllter Aufklärungsbogen (unterschrieben), Anamnese und Einverständniserklärung unterschrieben mitzubringen;berlin?derma.de
Pankow;10437;Stargarder Str.69/ Eberswalder Str.33;die hausärzte;Silke Weck;Hausarzt;"? Mo? Fr 11? 13 Uhr in
10437 Berlin, Eberswalder Str.33 (auf dem Hof) ? Impfung ausschließlich an diesem Standort ? nur mit Termin";0176/20200116;;www.die?hausaerzte.berlin;Bringen Sie, wenn möglich, das ausgefüllte Aufklärungsmerkblatt und den ausgefüllten Anamnesebogen zum Termin mit. Diese erhalten Sie unter www.RKI.de/Informationsmaterial zum Impfen mit Vektorimpfstoff;www.die?hausaerzte.berlin
Pankow;10439;Erich?Weinert?Str. 6;Praxis Dr. Häusler;Dr. Elke Häusler;Hausarzt;laut Internet;030/4451458;praxis?haeusler@gmx.de;;IMpfausweis und Verischertenkarte;praxis?elkehaeusler.de
Pankow;13187;Pichelswerderstr. 4/ Ecke Wollankstr.11;Arztpraxis f. Allgemeinmedizin/ Hausarztpraxis;Astrid Naumann;Hausarzt;Mo ? Frei: 08.30 ? 12.30 Uhr Mi: 13.00 ? 18.00 Uhr;030 4772021;;samedi, website: https://www.astrid? naumann.de;Anamnesebogen und Einwilligungserklärung bitte ausgefüllt mitbringen, bei Verhinderung bitte Termin rechtzeitig absagen;https://www.astrid?naumann.de
Pankow;13467;Greifswalder Straße 139;MVZ Ambulantes Gynäkologisches OP?Zentrum;Altankhuyag Otgonbold;Gynäkologie;Montags und eventuell Samstags;;;www.gyn?opz.de;Ein Termin kann über unsere Website gebucht werden: Doctolib;www.gyn?opz.de
Reinickendorf;13435;Wilhelmsruher Damm 231? 245;Gesundheitszentrum Wittenau;Siarhei Barysik;Hausarzt;"Mo. 09:00?18:00 Di. 09:00? 16:00 Mi. 08:00?14:00 Do.
09:00?16:30 Fr. 08:00?13:00";030 26586800;gz?wittenau@helios? gesundheit.de;;"Parken auf dem Bauhaus Parkplatz möglich, Praxis Zugang: rechts vom
Bauhaus Haupteingang, Impfärzte: Herr Barysik, Herr Dienert, Dokumente die zur Impfung mitzubringen sind: Chipkarte, wenn vorhanden: Impfpass, Einwilligungserklärung, Anamnesebogen Terminbuchung auch über die";"https://www.helios?
gesundheit.de/ambulant/berlin? wittenau?gesundheitszentrum? hausaerztliche?versorgung?"
Reinickendorf;13567;Schloßstr.33;Dr.med. J.Grambauer/Dr.med. B.Ritter;Dr.Joachim Grambauer/ Dr.Bertram Ritter;Chirurgie?Orthopädie;Mo.?Fr. 9.00h?13.00h Mo.? Mi. 14.00h ? 18.00h;;info@orthopaede?hermsdorf.de;;"Impfausweis;Allergieausweis;Medikamentenplan;Internistische Diagnosen";www.orthopaede?hermsdorf.de
Steglitz?Zehlendorf;12207;Königsberger Str. 46;Elke Köchy;Elke Köchy;Kinder? und Jugendmedizin;"Mo 9?13 14?18 Di 9?13 14? 18 Mi 9?13 14?18 Do 9?13
14?18 Fr 9?13 14?17";79708920;;familienmedizin?lichterfelde.de;;familienmedizin?lichterfelde.de
Steglitz?Zehlendorf;12209;Heinersdorfer Str. 17;Hausarztpraxis DR. Lemke;Dr. med. Ewelina Lemke;Hausärztin/Hausarzt;"Montag + Donnerstag 9.00?
13.00+ 15.00?18.30
Dienstag + Mittwoch 9.00? 13.00+14.00?17.00 Freitag";030/7725036;info@praxis?dr?lemke.de;www.praxis?dr?lemke.de;;ja
Steglitz?Zehlendorf;12163;Düppelstr. 39;Praxis für Orthopädie;Dr. med. Marcus Hollenstein;Chirurgie?Orthopädie;Mo,Di, Do, Fr: 8?12 Mo,Di,Do: 15?18;030?7908870;;;;www.dr?hollenstein.de
Steglitz?Zehlendorf;12247;Siemensstr. 40;Praxis >Dr.Schwarz;Dr. Uwe Schwarz;Hausarzt;"Mo 8?12 16?19 Die 8?12 Mi
+Do 8?12 16?18 Frei 8?11";030 771 90 700;;;Impfausweis und KV?Karte mitbringen. Praxis nicht rollstuhlgeeignet.;
Steglitz?Zehlendorf;14165;Sachtlebenstr. 29;Dr. med. Lars Reibetanz;Dr. med. Lars Reibetanz;Hausarzt;"Mo,Di,Mi,Fr 8:30?12 Uhr Mo 16?18:30, Di 13?15, Do
16?20 Uhr";;info@praxis?reibetanz.de;;Bitte Anfragen nur per e?mail. Wir kontaktieren Sie umgehend wenn Impfstoff für Sie zur Verfügung steht (bitte auch Ihre Telefonnummer angeben).;
Steglitz?Zehlendorf;14165;Ernst?Lemmer?Ring 113;Praxis für Allgemeinmedizin;Dr. Ulrike Thies;Hausärztin/Hausarzt;"Mo ? Di ? Do ? Fr 8:30 ? 12:00 Mo 16:00 ? 18:00 Mi
15:00 ? 18:00";15739295138;;;Telefonische Terminvereinbarung Mo ? Di ? Do ? Fr 9:00?12:00;
Steglitz?Zehlendorf;14195;Königin?Luise?Str. 37;Praxis Dr. med. Irena Klemmt & Partner;Dr. Irena Klemmt;Hausarzt;Montag, Dienstag, Donnerstag: 8:30?19:00 Mittwoch, Freitag: 8:30? 13:00;3082719040;Coronaimpfung@klemmt? partner.de;Www.klemmt?Partner.de;Bitte vorrangig zur Terminbuchung auf unsere Website gehen und hier den online Link über Doctolib zur Impfterminisierung wählen. Zum Impftermin die Versichertenkarte, den Impfausweis (wenn nicht vorhanden, können Sie einen bei uns erwerben) und die vorab von Ihnen ? auch über unsere Website verlinkten Anamnese/Einwilligungsbögen für den jeweiligen Impfstoff ausdrucken und schon ausgefüllt mitbringen. Ganz wichtig: um eine Verschwendung des knappen Impfstoffs zu verhindern , muss der Termin von Ihnen eingehalten werden ? zumindest 24 Std vorher abgesagt werden!!!!!!;Www.klemmt?Partner.de
Tempelhof? Schöneberg;12105;Königstr. 27;Dr. Sebastian Horowski;Sebastian Horowski;Hausarzt;Montag, Dienstag, Mittwoch, Donnerstag und Freitag 8 .00? 12.00 Uhr Montag, Dienstag und Donnerstag 15.30 ? 18.00 Uhr;;;;Anmeldung nur persönlich in der Praxis möglich Informationen auch gerne über unsere Website www.praxis?horowski.de;
Tempelhof? Schöneberg;12159;Fregestr. 74 a;Dr. med. Andreas Kärsten;Andreas Kärsten;Hausarzt;"Impfsprechstunden: Montag 13.00 ? 15.00 Uhr
Mittwoch 11.00 ? 13.00 Uhr
Freitag: 13.00 ? 14.00 Uhr";030/8591144;;;Terminvereinbarung NUR MONTAGS in der Zeit von 13.00 ? 15.00 Uhr. Terminvereinbarungen sind dann nur für die laufende, evtl. noch die darauffolgende, Woche aufgrund geringer Impfmengen möglich. Erste Terminvereinbarung ab 03.05.2021 (Vakzinlieferung vorausgesetzt) Impfwillige bringen zum Termin bitte die Versichertenkarte und das Impfbuch (wenn vorhanden) mit. Außerdem bitten wir alle Impfwilligen unter 60 Jahren zum Termin eine Einverständniserklärung zur Impfung mit AstraZeneca mitzubringen.;
Tempelhof? Schöneberg;12305;Bahnhofstraße 9;Praxis Dr. Dieminger;Christian Dieminger;Hausarzt;"Mo+Do: 07:45?12:00
+15:30?18:30 Di: 08:00?
12:00 Mi: nach Vereinbarung Fr: 08:00? 11:00 Infektsprechstunde nach Anmeldung: Mo,Di+Do 12:00?13:00, Fr 11:00?11:30 COVID?19
Impfungen nach Terminvereinbarung möglichst zu anderen Zeiten";7446071 auf Aunrufbeantworter;corona?impfung@internist? lichtenrade.de;;"Terminwunsch durch Nachricht auf Anrufbeantworter oder Kontaktaufnahme per e?Mail. In beiden Fällen erfolgt eine Rückmeldung und Terminabsprache durch uns. ?diesen Einwilligungsbogen möglichst ausgefüllt mitbringen (https://www.rki.de/DE/Content/Infekt/Impfen/Materialien/Downloads? COVID?19?Vektorimpfstoff/Einwilligung?de.pdf?     blob=publicationFile) ? diesen Aufklärungsbogen möglichst schon gelesen haben (https://www.rki.de/DE/Content/Infekt/Impfen/Materialien/Downloads? COVID?19?Vektorimpfstoff/Aufklaerungsbogen?
de.pdf?    blob=publicationFile)";www.internist?lichtenrade.de
Tempelhof? Schöneberg;12309;Skarbinastraße 79;Dr. Mattern;Dr. Dirk Mattern;Gynäkologie;Montag + Mittwoch: 8?14 Uhr Dienstag + Donnerstag: 13?19 Uhr Freitag: 8?13 Uhr;030 7455070;;;;
Treptow?Köpenick;12487;Segelfliegerdamm 95;Jörg Heßling;Dr Jörg Heßling;Hausärztin/Hausarzt;Mo: 7?12 Di: 10?18 Uhr Mi 7?12 Uhr Do 10?19 Uhr Fr 7? 11 Uhr;030 6360364;;;"Bitte mitbringen: Impfausweis, Versichertenkarte; Aufklärungs? und Anamneseformular für AstraZeneka?Impfung (Download über RKI? Webseite), sofern möglich.";https://www.onkologie? segelfliegerdamm.de
Treptow?Köpenick;12489;Albert?Einstein? Strasse 2;Praxis Dr. Ertelt;Dr Konstanze Ertelt;Hausarzt;"Mo 9 bis 14 Uhr Di 9 bis 13 Uhr Mi 9 bis 12 Uhr Do
11.30 bis 15 Uhr Fr 8.30 bis 12 Uhr sowie Impftermine nach Vereinbarung ausserhalb der Sprechzeiten";;kontakt@onlinepraxis.berlin;;Bitte bringen Sie den Aufklärungschein, Anamnesebogen für Neupatienten und die Einwilligung ausgefüllt mit.;www.onlinepraxis.berlin
